Time, Results
0.00128934, 2.9973
0.00257874, 2.99461
0.00386821, 2.99191
0.00515778, 2.98922
0.00644746, 2.98653
0.00773728, 2.98384
0.00902726, 2.98114
0.0103174, 2.97844
0.0116077, 2.97572
0.0128983, 2.97298
